time_start,time_end,launched,destroyed,id
2023-06-07 00:00:00,2023-06-07 00:00:00,1,1,273
2023-06-07 00:00:00,2023-06-07 00:00:00,1,1,274
2023-06-08 20:00:00,2023-06-08 20:00:00,2,0,275
2023-06-08 22:00:00,2023-06-09 04:00:00,6,4,276
2023-06-08 22:00:00,2023-06-09 04:00:00,16,10,277
2023-06-08 22:00:00,2023-06-09 04:00:00,4,4,278
2023-06-09 00:00:00,2023-06-09 00:00:00,12,12,279
2023-06-09 23:00:00,2023-06-10 05:00:00,8,2,280
2023-06-09 23:00:00,2023-06-10 05:00:00,35,20,281
2023-06-11 00:00:00,2023-06-11 08:00:00,6,6,282
2023-06-13 00:00:00,2023-06-13 08:00:00,14,10,283
2023-06-13 00:00:00,2023-06-13 08:00:00,4,1,284
2023-06-14 00:00:00,2023-06-14 08:00:00,4,3,285
2023-06-14 00:00:00,2023-06-14 08:00:00,10,9,286
2023-06-14 00:00:00,2023-06-14 08:00:00,6,0,287
2023-06-15 00:20:00,2023-06-15 04:30:00,4,1,288
2023-06-15 00:20:00,2023-06-15 04:30:00,20,20,289
2023-06-15 00:00:00,2023-06-15 00:00:00,2,2,290
2023-06-15 00:00:00,2023-06-15 00:00:00,1,1,291
2023-06-15 00:00:00,2023-06-15 00:00:00,1,1,292
2023-06-15 00:00:00,2023-06-15 00:00:00,1,1,293
2023-06-15 00:00:00,2023-06-15 00:00:00,1,1,294
2023-06-16 00:00:00,2023-06-16 08:00:00,2,2,295
2023-06-16 11:00:00,2023-06-16 11:00:00,6,6,296
2023-06-16 11:00:00,2023-06-16 11:00:00,6,6,297
2023-06-16 00:00:00,2023-06-16 00:00:00,2,2,298
2023-06-17 00:00:00,2023-06-17 00:00:00,4,4,299
2023-06-17 00:00:00,2023-06-17 00:00:00,1,1,300
2023-06-17 00:00:00,2023-06-17 00:00:00,7,7,301
2023-06-19 00:00:00,2023-06-19 08:00:00,4,4,302
2023-06-19 00:00:00,2023-06-19 08:00:00,4,4,303
2023-06-20 00:00:00,2023-06-20 08:00:00,35,32,304
2023-06-20 00:00:00,2023-06-20 08:00:00,4,4,305
