target,id,city,Oblast,Country,latitude,longitude
Odesa oblast,417,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,418,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,422,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,425,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,426,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,427,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,439,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,440,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,441,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,445,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,446,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,451,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,453,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,460,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,497,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,526,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,527,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,539,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,560,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,562,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,577,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Mykolaiv oblast,3,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,6,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,11,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,12,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,16,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,26,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,31,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,36,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,44,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,47,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,48,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,54,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,86,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,94,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,95,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,164,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,165,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,174,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,175,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,187,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,188,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,189,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
Mykolaiv oblast,225,,Mykolaiv Oblast,Ukraine,47.3886032,31.9442334
